y_centers,rho_A_target,rho_C_target,rho_A_iter_1,rho_C_iter_1
5.044220924377441406e+00,8.944392204284667969e-01,1.293434262275695801e+00,8.648306131362915039e-01,1.264013528823852539e+00
5.092462062835693359e+00,1.406377673149108887e+00,1.665376067161560059e+00,1.385270953178405762e+00,1.612951993942260742e+00
5.140703201293945312e+00,1.889412403106689453e+00,1.890832781791687012e+00,1.808764100074768066e+00,1.777551293373107910e+00
5.188944816589355469e+00,2.105403661727905273e+00,1.794827938079833984e+00,1.997247457504272461e+00,1.742135524749755859e+00
5.237185478210449219e+00,2.039428234100341797e+00,1.607928037643432617e+00,1.978574275970458984e+00,1.565010428428649902e+00
5.285427093505859375e+00,1.793119788169860840e+00,1.296531319618225098e+00,1.773591637611389160e+00,1.298348665237426758e+00
5.333668231964111328e+00,1.483663201332092285e+00,1.064261198043823242e+00,1.459650874137878418e+00,1.065626740455627441e+00
5.381909370422363281e+00,1.166352510452270508e+00,9.106532931327819824e-01,1.193957090377807617e+00,8.888669610023498535e-01
5.430150985717773438e+00,9.695256352424621582e-01,7.666459679603576660e-01,9.921022653579711914e-01,7.651016712188720703e-01
5.478391647338867188e+00,8.169965147972106934e-01,7.180241346359252930e-01,8.260142207145690918e-01,6.791417002677917480e-01
5.526633262634277344e+00,7.079798579216003418e-01,6.224836707115173340e-01,7.372149825096130371e-01,6.297237873077392578e-01
5.574873924255371094e+00,6.407477259635925293e-01,5.995663404464721680e-01,6.583779454231262207e-01,5.908378362655639648e-01
5.623115539550781250e+00,5.977065563201904297e-01,5.809847712516784668e-01,6.082856655120849609e-01,5.742485523223876953e-01
5.671356678009033203e+00,5.881243944168090820e-01,5.865592956542968750e-01,5.852648019790649414e-01,5.844000577926635742e-01
5.719597816467285156e+00,6.039899587631225586e-01,6.207803487777709961e-01,5.946169495582580566e-01,6.096796393394470215e-01
5.767838954925537109e+00,6.157712936401367188e-01,6.958810091018676758e-01,6.259266734123229980e-01,6.740583777427673340e-01
5.816080093383789062e+00,6.520578265190124512e-01,7.390831708908081055e-01,6.585811972618103027e-01,7.562134265899658203e-01
5.864321708679199219e+00,7.384542822837829590e-01,8.519665002822875977e-01,7.346814274787902832e-01,8.244274854660034180e-01
5.912562370300292969e+00,8.427584171295166016e-01,9.727469086647033691e-01,8.777798414230346680e-01,9.227761030197143555e-01
5.960803985595703125e+00,9.736097455024719238e-01,1.070609927177429199e+00,9.537706375122070312e-01,1.010973334312438965e+00
6.009045124053955078e+00,1.067389249801635742e+00,1.128212928771972656e+00,1.054784059524536133e+00,1.104132175445556641e+00
6.057286262512207031e+00,1.180175900459289551e+00,1.198977947235107422e+00,1.149948358535766602e+00,1.125850439071655273e+00
6.105527400970458984e+00,1.248821854591369629e+00,1.202384591102600098e+00,1.218119502067565918e+00,1.172467947006225586e+00
6.153769016265869141e+00,1.251963496208190918e+00,1.192009806632995605e+00,1.213349580764770508e+00,1.134921312332153320e+00
6.202010154724121094e+00,1.232328057289123535e+00,1.151285171508789062e+00,1.227815866470336914e+00,1.097389936447143555e+00
6.250250816345214844e+00,1.182375192642211914e+00,1.116754293441772461e+00,1.183228611946105957e+00,1.060832619667053223e+00
6.298492431640625000e+00,1.120169639587402344e+00,1.058222174644470215e+00,1.111882686614990234e+00,1.044136762619018555e+00
6.346733570098876953e+00,1.076657295227050781e+00,1.013316750526428223e+00,1.077241897583007812e+00,9.857850074768066406e-01
6.394974708557128906e+00,1.019792675971984863e+00,9.530813694000244141e-01,1.030543327331542969e+00,9.368693828582763672e-01
6.443216323852539062e+00,9.731386303901672363e-01,9.148342013359069824e-01,9.804197549819946289e-01,9.027624130249023438e-01
6.491456985473632812e+00,9.272699356079101562e-01,8.741095066070556641e-01,9.442776441574096680e-01,8.745910525321960449e-01
6.539698600769042969e+00,9.153314232826232910e-01,8.861876130104064941e-01,9.274029731750488281e-01,8.476372361183166504e-01
6.587939262390136719e+00,8.985234498977661133e-01,8.810776472091674805e-01,8.721810579299926758e-01,8.769956827163696289e-01
6.636180877685546875e+00,8.752748966217041016e-01,8.821615576744079590e-01,8.536642789840698242e-01,8.926870822906494141e-01
6.684422016143798828e+00,8.875274658203125000e-01,9.026013612747192383e-01,8.398861885070800781e-01,9.027624130249023438e-01
6.732663154602050781e+00,8.944392204284667969e-01,9.081757664680480957e-01,8.749491572380065918e-01,9.053497910499572754e-01
6.780904293060302734e+00,9.278981685638427734e-01,9.227314591407775879e-01,9.072127938270568848e-01,8.978160619735717773e-01
6.829145431518554688e+00,9.520891904830932617e-01,9.471971988677978516e-01,9.387726783752441406e-01,8.980138897895812988e-01
6.877386569976806641e+00,9.627709388732910156e-01,9.580364227294921875e-01,9.541615843772888184e-01,9.309185743331909180e-01
6.925628185272216797e+00,9.709393978118896484e-01,9.914832711219787598e-01,9.527384638786315918e-01,9.801842570304870605e-01
6.973869323730468750e+00,1.004712581634521484e+00,1.015484571456909180e+00,1.008022904396057129e+00,9.786927103996276855e-01
7.022110462188720703e+00,1.050109982490539551e+00,1.015484571456909180e+00,1.016608834266662598e+00,9.716308712959289551e-01
7.070351600646972656e+00,1.039428234100341797e+00,1.025549530982971191e+00,1.031997799873352051e+00,9.811430573463439941e-01
7.118592739105224609e+00,1.028589367866516113e+00,9.942705631256103516e-01,1.022567391395568848e+00,9.693936109542846680e-01
7.166834354400634766e+00,1.063462138175964355e+00,9.958190917968750000e-01,1.047308564186096191e+00,9.798797965049743652e-01
7.215075492858886719e+00,1.044454932212829590e+00,9.842054843902587891e-01,1.030121088027954102e+00,9.699414372444152832e-01
7.263316154479980469e+00,1.020578026771545410e+00,9.868378639221191406e-01,1.037502765655517578e+00,9.798493981361389160e-01
7.311557769775390625e+00,1.020263791084289551e+00,1.002941966056823730e+00,9.842826724052429199e-01,9.717830419540405273e-01
7.359799385070800781e+00,9.885327816009521484e-01,9.852895140647888184e-01,9.737105369567871094e-01,9.710220694541931152e-01
7.408040046691894531e+00,1.002513289451599121e+00,9.777019619941711426e-01,9.941666126251220703e-01,9.417548775672912598e-01
7.456281661987304688e+00,9.794219136238098145e-01,9.657788276672363281e-01,9.764161109924316406e-01,9.518302083015441895e-01
7.504522323608398438e+00,9.704680442810058594e-01,9.803343415260314941e-01,9.602608680725097656e-01,9.509170055389404297e-01
7.552763462066650391e+00,9.769086241722106934e-01,9.806441068649291992e-01,9.556629657745361328e-01,9.564265608787536621e-01
7.601004600524902344e+00,9.533458948135375977e-01,9.787859320640563965e-01,9.528478980064392090e-01,9.542501568794250488e-01
7.649245738983154297e+00,9.633992910385131836e-01,9.572621583938598633e-01,9.687998294830322266e-01,9.449205398559570312e-01
7.697487354278564453e+00,9.607288837432861328e-01,9.773923158645629883e-01,9.677363634109497070e-01,9.346169233322143555e-01
7.745728492736816406e+00,9.923028945922851562e-01,9.815731048583984375e-01,9.518313407897949219e-01,9.483145475387573242e-01
7.793969631195068359e+00,9.802073836326599121e-01,9.945803284645080566e-01,9.845798015594482422e-01,9.609923958778381348e-01
7.842210769653320312e+00,9.784793853759765625e-01,9.959739446640014648e-01,1.010665893554687500e+00,9.524542689323425293e-01
7.890452384948730469e+00,9.941877722740173340e-01,9.982966184616088867e-01,1.005458116531372070e+00,9.386196732521057129e-01
7.938693523406982422e+00,1.005183815956115723e+00,9.789407849311828613e-01,1.018047571182250977e+00,9.378130435943603516e-01
7.986934661865234375e+00,1.000942587852478027e+00,1.008671283721923828e+00,9.952926039695739746e-01,9.590594768524169922e-01
8.035175323486328125e+00,1.009896278381347656e+00,1.002322673797607422e+00,1.009383559226989746e+00,9.883114695549011230e-01
8.083415985107421875e+00,1.032673597335815430e+00,1.003871083259582520e+00,1.048059225082397461e+00,1.032782912254333496e+00
8.131658554077148438e+00,1.027961015701293945e+00,9.735211730003356934e-01,1.015670537948608398e+00,9.968800544738769531e-01
8.179899215698242188e+00,9.846056699752807617e-01,9.956641793251037598e-01,1.027775168418884277e+00,1.014504313468933105e+00
8.228139877319335938e+00,1.010210514068603516e+00,9.936512112617492676e-01,1.013903260231018066e+00,9.858002662658691406e-01
8.276381492614746094e+00,9.976437687873840332e-01,9.894703030586242676e-01,1.012120366096496582e+00,9.826954603195190430e-01
8.324623107910156250e+00,9.857053756713867188e-01,9.739856719970703125e-01,9.827812910079956055e-01,9.772011637687683105e-01
8.372863769531250000e+00,1.000628352165222168e+00,9.832764863967895508e-01,9.716618061065673828e-01,9.801081418991088867e-01
8.421105384826660156e+00,9.897895455360412598e-01,9.911736845970153809e-01,9.858934879302978516e-01,9.948254227638244629e-01
8.469347000122070312e+00,1.007697105407714844e+00,9.772374033927917480e-01,9.953395724296569824e-01,1.005372524261474609e+00
8.517587661743164062e+00,9.868049025535583496e-01,9.982966184616088867e-01,9.887397885322570801e-01,9.839891195297241211e-01
8.565828323364257812e+00,9.797361493110656738e-01,9.572621583938598633e-01,9.733352065086364746e-01,9.661974906921386719e-01
8.614070892333984375e+00,9.872761368751525879e-01,9.958190917968750000e-01,9.849708080291748047e-01,9.772620797157287598e-01
8.662311553955078125e+00,9.795790314674377441e-01,9.962835907936096191e-01,1.008726716041564941e+00,9.631078839302062988e-01
8.710552215576171875e+00,9.761231541633605957e-01,9.719726443290710449e-01,1.017906904220581055e+00,9.776273965835571289e-01
8.758793830871582031e+00,9.732956886291503906e-01,9.941157102584838867e-01,9.788558483123779297e-01,9.999848604202270508e-01
8.807035446166992188e+00,9.940307736396789551e-01,9.962835907936096191e-01,9.873166084289550781e-01,1.019055008888244629e+00
8.855276107788085938e+00,9.937166571617126465e-01,9.880767464637756348e-01,9.821556806564331055e-01,1.007290244102478027e+00
8.903516769409179688e+00,1.007697105407714844e+00,9.992257356643676758e-01,9.900222420692443848e-01,1.008416533470153809e+00
8.951759338378906250e+00,1.003927111625671387e+00,1.022142887115478516e+00,9.641081094741821289e-01,9.956625103950500488e-01
9.000000000000000000e+00,1.004555463790893555e+00,9.922575354576110840e-01,9.988427162170410156e-01,9.906400442123413086e-01
9.048240661621093750e+00,1.000000000000000000e+00,9.999999403953552246e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.096482276916503906e+00,9.970154166221618652e-01,9.930317997932434082e-01,1.026179909706115723e+00,1.001446008682250977e+00
9.144723892211914062e+00,9.968583583831787109e-01,1.012232780456542969e+00,1.024834990501403809e+00,1.005250811576843262e+00
9.192964553833007812e+00,9.875903725624084473e-01,9.727469086647033691e-01,9.733195900917053223e-01,9.849631786346435547e-01
9.241206169128417969e+00,9.973295331001281738e-01,9.702693819999694824e-01,9.844859838485717773e-01,9.509779214859008789e-01
9.289447784423828125e+00,9.973295331001281738e-01,9.640754461288452148e-01,9.880673289299011230e-01,9.646146297454833984e-01
9.337688446044921875e+00,9.883757829666137695e-01,9.825022220611572266e-01,1.008163690567016602e+00,9.467621445655822754e-01
9.385929107666015625e+00,9.677977561950683594e-01,9.857540130615234375e-01,9.929780364036560059e-01,9.634122848510742188e-01
9.434171676635742188e+00,1.001413822174072266e+00,9.996902346611022949e-01,9.760094881057739258e-01,9.475535154342651367e-01
9.482412338256835938e+00,9.880615472793579102e-01,9.854442477226257324e-01,9.788870811462402344e-01,9.759227633476257324e-01
9.530652999877929688e+00,9.985862374305725098e-01,9.868378639221191406e-01,9.754934310913085938e-01,9.376760721206665039e-01
9.578893661499023438e+00,9.740810394287109375e-01,9.829667210578918457e-01,9.749460816383361816e-01,9.579484462738037109e-01
9.627135276794433594e+00,9.894753694534301758e-01,9.837409853935241699e-01,9.864408373832702637e-01,9.539761543273925781e-01
9.675376892089843750e+00,1.020892262458801270e+00,1.008671283721923828e+00,1.008507728576660156e+00,9.658626914024353027e-01
9.723617553710937500e+00,1.002670407295227051e+00,9.955093264579772949e-01,9.987332224845886230e-01,9.756487607955932617e-01
9.771859169006347656e+00,1.028118133544921875e+00,9.961286783218383789e-01,1.004723072052001953e+00,9.745073914527893066e-01
9.820100784301757812e+00,9.989003539085388184e-01,1.016878128051757812e+00,1.011072516441345215e+00,9.801842570304870605e-01
9.868341445922851562e+00,1.019792675971984863e+00,9.789407849311828613e-01,1.014044046401977539e+00,9.623926281929016113e-01
9.916583061218261719e+00,1.006597518920898438e+00,9.965932369232177734e-01,1.006568431854248047e+00,9.675367474555969238e-01
9.964823722839355469e+00,1.012880921363830566e+00,1.016568541526794434e+00,1.009743213653564453e+00,9.771555662155151367e-01
1.001306533813476562e+01,1.010053396224975586e+00,1.028956174850463867e+00,9.842513799667358398e-01,9.927251338958740234e-01
1.006130599975585938e+01,1.032673597335815430e+00,1.009755253791809082e+00,9.947609305381774902e-01,1.045293450355529785e+00
1.010954761505126953e+01,9.855482578277587891e-01,1.022607564926147461e+00,1.006365180015563965e+00,1.009512305259704590e+00
1.015778923034667969e+01,1.000942587852478027e+00,1.030504703521728516e+00,9.862375259399414062e-01,1.004048466682434082e+00
1.020602989196777344e+01,9.979578852653503418e-01,1.000928997993469238e+00,1.007303476333618164e+00,9.875504970550537109e-01
1.025427055358886719e+01,1.007854223251342773e+00,9.668627381324768066e-01,9.929467439651489258e-01,9.568830728530883789e-01
1.030251312255859375e+01,9.937166571617126465e-01,9.668627381324768066e-01,9.818273186683654785e-01,9.305837750434875488e-01
1.035075378417968750e+01,9.835061430931091309e-01,9.781665802001953125e-01,9.714272022247314453e-01,9.286203980445861816e-01
1.039899444580078125e+01,9.798931479454040527e-01,9.758437871932983398e-01,9.506271481513977051e-01,9.389088153839111328e-01
1.044723606109619141e+01,9.770656824111938477e-01,9.702693819999694824e-01,9.571174383163452148e-01,9.406895041465759277e-01
1.049547767639160156e+01,9.910461306571960449e-01,9.710436463356018066e-01,9.506584405899047852e-01,9.345560669898986816e-01
1.054371833801269531e+01,9.688972830772399902e-01,9.637657403945922852e-01,9.522379636764526367e-01,9.311012029647827148e-01
1.059195995330810547e+01,1.008325457572937012e+00,9.636109471321105957e-01,1.016233444213867188e+00,9.474774003028869629e-01
1.064020156860351562e+01,1.005655050277709961e+00,1.006813168525695801e+00,1.021644592285156250e+00,9.709763526916503906e-01
1.068844223022460938e+01,1.022463083267211914e+00,9.905542731285095215e-01,1.014732122421264648e+00,1.002648353576660156e+00
1.073668289184570312e+01,1.032830715179443359e+00,1.007432579994201660e+00,1.008929967880249023e+00,1.026619076728820801e+00
1.078492450714111328e+01,1.044454932212829590e+00,1.031743526458740234e+00,1.040067553520202637e+00,1.041031956672668457e+00
1.083316612243652344e+01,1.076028943061828613e+00,1.025704383850097656e+00,1.053032398223876953e+00,1.037988066673278809e+00
1.088140678405761719e+01,1.025447726249694824e+00,1.036543726921081543e+00,1.027493715286254883e+00,1.050513744354248047e+00
1.092964839935302734e+01,1.073829770088195801e+00,1.028336882591247559e+00,1.025288581848144531e+00,1.069172859191894531e+00
1.097789001464843750e+01,1.062362551689147949e+00,1.054970383644104004e+00,1.029995918273925781e+00,1.063054680824279785e+00
1.102613067626953125e+01,1.078542232513427734e+00,1.034995198249816895e+00,1.055691123008728027e+00,1.096552848815917969e+00
1.107437133789062500e+01,1.043669581413269043e+00,1.056209325790405273e+00,1.017156243324279785e+00,1.077406644821166992e+00
1.112261295318603516e+01,1.008011341094970703e+00,1.019665360450744629e+00,1.010650277137756348e+00,1.056753754615783691e+00
1.117085456848144531e+01,9.948162436485290527e-01,1.015484571456909180e+00,9.828594923019409180e-01,1.027927875518798828e+00
1.121909523010253906e+01,9.800502657890319824e-01,9.742953777313232422e-01,9.485628008842468262e-01,1.014565229415893555e+00
1.126733684539794922e+01,9.340244531631469727e-01,9.419323801994323730e-01,9.244784116744995117e-01,9.730158448219299316e-01
1.131557750701904297e+01,9.208294153213500977e-01,9.400742650032043457e-01,8.889306187629699707e-01,9.424397945404052734e-01
1.136381912231445312e+01,9.118755459785461426e-01,9.131309390068054199e-01,8.848487734794616699e-01,8.926262259483337402e-01
1.141205978393554688e+01,9.057493209838867188e-01,8.843294382095336914e-01,8.831284642219543457e-01,8.832356929779052734e-01
1.146030139923095703e+01,9.178448319435119629e-01,8.950138092041015625e-01,8.938256502151489258e-01,8.922609090805053711e-01
1.150854301452636719e+01,9.272699356079101562e-01,8.914523720741271973e-01,9.167370200157165527e-01,9.035385847091674805e-01
1.155678367614746094e+01,9.434495568275451660e-01,9.016723036766052246e-01,9.770729541778564453e-01,9.122442007064819336e-01
1.160502529144287109e+01,9.897895455360412598e-01,9.389903545379638672e-01,9.916174411773681641e-01,9.575375318527221680e-01
1.165326690673828125e+01,1.062519669532775879e+00,9.626818299293518066e-01,1.043508172035217285e+00,9.626969695091247559e-01
1.170150756835937500e+01,1.106974482536315918e+00,9.917930364608764648e-01,1.118560552597045898e+00,9.850848913192749023e-01
1.174974822998046875e+01,1.173578381538391113e+00,1.055589795112609863e+00,1.144396424293518066e+00,1.048169970512390137e+00
1.179798984527587891e+01,1.219918251037597656e+00,1.096469402313232422e+00,1.206139922142028809e+00,1.070451259613037109e+00
1.184623146057128906e+01,1.258246898651123047e+00,1.145400881767272949e+00,1.244064927101135254e+00,1.106963038444519043e+00
1.189447212219238281e+01,1.270499467849731445e+00,1.179312348365783691e+00,1.274623870849609375e+00,1.148573279380798340e+00
1.194271373748779297e+01,1.240810513496398926e+00,1.219882249832153320e+00,1.248897433280944824e+00,1.154661059379577637e+00
1.199095535278320312e+01,1.222274541854858398e+00,1.197739005088806152e+00,1.172187209129333496e+00,1.130309820175170898e+00
1.203919601440429688e+01,1.099120378494262695e+00,1.153762698173522949e+00,1.073285102844238281e+00,1.101438283920288086e+00
1.208743667602539062e+01,9.759660363197326660e-01,1.080829858779907227e+00,9.615745544433593750e-01,1.030058741569519043e+00
1.213567829132080078e+01,8.847000002861022949e-01,9.617527723312377930e-01,8.631728887557983398e-01,9.310402870178222656e-01
1.218391990661621094e+01,7.692428827285766602e-01,8.502631187438964844e-01,7.550123929977416992e-01,8.085686564445495605e-01
1.223216056823730469e+01,6.864593625068664551e-01,7.620005607604980469e-01,6.677926778793334961e-01,7.434442043304443359e-01
1.228040122985839844e+01,6.457744240760803223e-01,6.872096061706542969e-01,6.250977516174316406e-01,6.813181042671203613e-01
1.232864379882812500e+01,6.080741882324218750e-01,6.186125278472900391e-01,6.149479150772094727e-01,6.075489521026611328e-01
1.237688446044921875e+01,5.903236269950866699e-01,5.751006007194519043e-01,6.056270003318786621e-01,5.557872653007507324e-01
1.242512512207031250e+01,6.134150028228759766e-01,5.884173512458801270e-01,6.233931183815002441e-01,5.724070072174072266e-01
1.247336673736572266e+01,6.490732431411743164e-01,5.873334407806396484e-01,6.639767289161682129e-01,6.002587676048278809e-01
1.252160739898681641e+01,7.265158891677856445e-01,6.534529924392700195e-01,7.138969898223876953e-01,6.469370722770690918e-01
1.256984901428222656e+01,8.245365619659423828e-01,6.842675209045410156e-01,8.246692419052124023e-01,6.985313892364501953e-01
1.261809062957763672e+01,9.989003539085388184e-01,7.754721641540527344e-01,1.024944543838500977e+00,7.922989726066589355e-01
1.266633129119873047e+01,1.213634967803955078e+00,9.100340008735656738e-01,1.243783473968505859e+00,8.852294683456420898e-01
1.271457290649414062e+01,1.473295569419860840e+00,1.091359496116638184e+00,1.575537204742431641e+00,1.080983281135559082e+00
1.276281452178955078e+01,1.838045954704284668e+00,1.341901421546936035e+00,1.923430681228637695e+00,1.338908791542053223e+00
1.281105518341064453e+01,2.108231306076049805e+00,1.612728238105773926e+00,2.247552394866943359e+00,1.598965167999267578e+00
1.285929679870605469e+01,2.129123449325561523e+00,1.856611847877502441e+00,2.299912452697753906e+00,1.805235743522644043e+00
1.290753746032714844e+01,1.883443355560302734e+00,1.886961579322814941e+00,1.959791779518127441e+00,1.844578266143798828e+00
1.295577812194824219e+01,1.447062492370605469e+00,1.684731841087341309e+00,1.434800267219543457e+00,1.641610264778137207e+00
1.300402069091796875e+01,9.101476669311523438e-01,1.335707545280456543e+00,8.886178135871887207e-01,1.289186716079711914e+00
1.305226135253906250e+01,4.572730362415313721e-01,9.264477491378784180e-01,4.294829666614532471e-01,8.817290067672729492e-01
1.310050201416015625e+01,1.575557589530944824e-01,5.006192922592163086e-01,1.496355980634689331e-01,4.889430105686187744e-01
1.314874458312988281e+01,3.691486269235610962e-02,2.314957827329635620e-01,3.745581954717636108e-02,2.170459032058715820e-01
1.319698524475097656e+01,5.340873263776302338e-03,6.952616572380065918e-02,5.927246529608964920e-03,6.530705839395523071e-02
1.324522590637207031e+01,3.141690394841134548e-04,1.331681571900844574e-02,0.000000000000000000e+00,1.194734126329421997e-02
1.329346656799316406e+01,0.000000000000000000e+00,1.393620157614350319e-03,0.000000000000000000e+00,1.780686550773680210e-03
1.334170913696289062e+01,0.000000000000000000e+00,1.548466971144080162e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.338994979858398438e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.343819046020507812e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.348643302917480469e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.353467369079589844e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.358291435241699219e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.363115501403808594e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.367939662933349609e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.372763824462890625e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.377587890625000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
